price,number_of_reviews,rating,bedrooms
132,177,4.84,1
490,19,4.89,3
395,28,4.68,5
148,1,4,2
149,16,4.63,1
160,1,5,4
280,8,4.88,4
126,1,5,1
145,9,4.44,2
140,7,4.43,2
61,37,4.89,1
124,123,4.82,1
131,143,4.9,1
400,6,5,4
250,5,5,2
179,6,3.83,1
173,7,4.14,1
163,2,2.5,1
173,2,5,1
173,1,5,1
163,3,4.67,1
173,3,3.67,1
154,4,4.75,1
154,1,4,1
163,3,4.33,1
163,4,4.5,1
154,2,3.5,1
217,64,4.98,2
264,21,5,4
129,4,5,1
160,9,5,3
150,28,4.89,2
138,16,4.75,3
109,69,4.68,1
114,56,4.86,1
139,36,4.72,1
139,55,4.76,1
110,13,5,1
119,71,4.97,1
84,89,4.87,1
140,4,4.75,1
145,9,4.44,1
110,5,4.6,4
100,34,4.94,1
150,20,4.75,2
98,39,4.46,2
80,4,4.75,1
200,21,4.76,3
80,6,4.83,2
140,2,4.5,2
99,11,4.91,1
80,20,5,1
246,95,4.77,2
266,54,4.67,2
303,36,4.72,2
402,50,4.82,3
325,14,4.21,3
110,10,4.9,3
160,5,4.6,1
95,9,4.67,1
150,5,5,2
90,8,4.75,1
90,2,4.5,1
124,20,4.35,1
124,14,4.5,1
150,3,4.67,2
245,20,4.95,1
110,7,4.86,3
72,40,4.8,1
90,30,4.3,1
95,9,4.89,3
178,3,4.67,2
97,118,4.85,1
220,32,4.97,1
144,40,4.85,2
90,49,4.84,1
275,34,5,2
347,92,4.75,2
115,24,4.5,1
240,4,5,1
150,4,4.75,1
152,7,5,2
500,21,4.76,2
256,20,3.95,1
86,22,4.68,2
208,28,4.36,1
108,13,4.08,1
153,12,4.83,1
107,68,4.91,1
148,14,4.57,1
100,2,5,2
128,4,4.25,1
128,2,3.5,1
128,4,3.5,1
122,12,4.42,1
128,28,4.61,1
128,19,4.37,1
122,5,4.2,1
128,9,4,1
128,43,4.28,1
137,2,4.5,1
148,5,4.8,1
128,1,5,1
150,8,5,2
150,3,4.67,1
113,11,4.82,2
95,27,4.37,2
197,5,5,2
129,6,5,2
479,28,4.89,4
125,18,4.95,1
120,6,5,1
104,27,4.15,1
157,4,4.25,3
145,6,4.83,1
120,12,5,1
130,4,5,2
130,1,5,3
135,38,4.66,2
150,4,4.75,3
375,37,5,3
100,41,4.68,1
128,3,3.67,1
250,5,4.6,2
400,13,4.46,3
125,10,4.3,1
125,20,4.6,1
125,23,4.87,1
