condition,odometer,paint_color,price,year
excellent,165000,"",6750,2007
good,200000,blue,3800,2002
excellent,40666,grey,9995,2014
good,138000,red,5500,2005
good,165000,"",4699,2007
excellent,64000,silver,10998,2008
good,172444,white,5500,2007
excellent,144000,black,2499,2001
excellent,144000,black,2499,2001
excellent,86000,silver,13500,2013
excellent,72159,silver,20500,2018
excellent,57300,brown,4599,1999
good,142000,grey,5995,2010
good,182000,white,5900,2012
good,99742,black,10495,2010
fair,180000,grey,750,2001
excellent,116013,grey,5150,2004
excellent,86000,silver,13750,2015
excellent,86000,silver,13750,2015
like new,89000,"",5999,2005
excellent,65848,"",249,2016
good,262646,brown,3995,2003
like new,119200,"",10995,2014
excellent,28219,"",332,2018
excellent,161000,silver,6975,2009
excellent,95000,black,13495,2017
excellent,77588,silver,9900,2007
excellent,43700,silver,22357,2019
excellent,65848,"",249,2016
excellent,28219,"",332,2018
like new,180903,silver,6250,2009
good,54082,blue,6000,1995
excellent,206189,red,4995,2008
good,124887,silver,13999,2016
excellent,97000,black,9997,2006
excellent,97000,black,9997,2006
excellent,161000,silver,6975,2009
excellent,97000,black,9997,2006
excellent,97000,black,9997,2006
excellent,97000,black,9997,2006
like new,142958,grey,5000,2003
good,124887,silver,13999,2016
good,198000,white,3900,2004
good,258700,"",1800,2000
excellent,198485,green,7000,2009
good,34010,"",21999,2018
good,141000,grey,6650,2009
excellent,125513,silver,7888,2007
excellent,99862,silver,13888,2012
good,206194,grey,2000,2001
good,116755,white,5000,2005
good,175500,grey,5500,2008
excellent,63400,"",6495,2002
excellent,176431,custom,2950,1994
excellent,123240,blue,7999,2005
good,123083,silver,6000,2011
like new,30000,"",1300,2012
like new,125000,white,8800,2014
like new,140000,silver,8990,2013
excellent,97151,grey,16988,2017
excellent,103000,grey,5600,2009
fair,211647,white,1600,1998
excellent,123240,blue,7999,2005
excellent,161000,silver,6975,2009
good,187000,blue,5200,2008
excellent,126291,grey,12999,2016
excellent,251000,"",3000,1996
good,127000,grey,3400,2003
excellent,126291,grey,12999,2016
excellent,166295,silver,3995,2002
good,123000,green,5500,2008
excellent,137000,silver,4600,2003
fair,200000,red,1500,2003
like new,31500,silver,18000,2017
good,152300,silver,3995,2002
excellent,148220,white,7500,2011
excellent,126291,grey,12999,2016
excellent,180000,grey,6400,2007
excellent,26948,grey,15788,2015
excellent,165000,black,5900,2003
fair,203000,"",1900,1997
excellent,108541,white,7499,2007
excellent,105000,blue,7500,2009
excellent,146672,brown,3495,2006
excellent,152245,custom,6800,2010
excellent,146927,white,4950,2004
good,104814,silver,5995,2010
good,178000,white,5700,2009
good,189354,white,4500,2003
salvage,200000,white,600,2000
excellent,168017,red,3950,2002
like new,68000,grey,13000,2013
excellent,53500,white,6200,1989
good,123000,"",4800,2009
good,151886,"",6100,2007
like new,82000,white,13500,2015
fair,193000,red,1600,1996
like new,82000,white,13500,2015
excellent,180000,black,8500,2012
good,171352,green,1300,1991
good,158900,silver,7495,2007
good,190000,white,2100,2001
good,190000,white,2100,2001
excellent,141012,"",3695,2003
good,153000,red,6750,2011
excellent,166000,"",3800,2006
good,153000,red,6750,2011
excellent,178021,"",5495,2004
excellent,156000,grey,4500,2007
excellent,200000,black,5799,2011
good,158900,silver,7495,2007
excellent,152000,grey,5700,2011
excellent,64398,grey,10499,2011
excellent,119179,green,6995,2007
excellent,141012,"",3350,2003
like new,38400,grey,15750,2017
excellent,99950,brown,4950,2004
like new,200000,"",5499,2011
good,176540,green,5200,2009
excellent,119179,green,6995,2007
fair,212500,"",2600,2004
fair,212500,"",2600,2004
excellent,200000,black,5499,2011
good,107000,"",4500,2003
excellent,206390,silver,2750,2004
fair,174675,black,1200,1999
excellent,200000,green,2400,2004
good,110200,brown,5200,2007
excellent,140000,grey,1500,1999
excellent,147000,red,4800,2007
excellent,150000,blue,6900,2007
excellent,134000,grey,7499,2011
good,118200,grey,11829,2016
excellent,114329,white,5650,2007
excellent,117900,"",5500,2008
good,206000,green,2500,1996
excellent,115852,grey,9500,2013
good,56000,silver,9000,2007
good,174746,grey,3725,2004
good,162871,red,3500,2000
good,85700,red,7200,2007
good,147658,red,4850,2007
good,130000,blue,4500,2010
excellent,80466,white,12890,2012
good,189000,white,5999,2011
excellent,50566,black,1,2015
like new,158250,silver,6995,2006
like new,158250,silver,6995,2006
excellent,86000,silver,7950,2008
excellent,157000,blue,6900,2006
excellent,158422,grey,3995,2004
excellent,55000,black,14995,2015
excellent,54000,black,14440,2015
like new,74000,silver,7895,2007
fair,135000,red,2900,1993
like new,74000,silver,7895,2007
fair,182000,"",1500,1995
like new,3877,white,17000,2016
excellent,57325,green,500,2017
good,153000,green,4500,2009
good,109039,black,15950,2016
good,189000,"",5999,2011
good,202300,silver,3000,2003
good,88950,white,16950,2018
excellent,110335,"",1999,2011
excellent,120351,"",2000,2015
good,109039,black,15950,2016
like new,97225,"",1,2017
excellent,187705,silver,3890,2005
excellent,50566,black,1,2015
excellent,139652,"",5200,2005
like new,155000,"",7100,2012
excellent,39388,silver,18990,2018
excellent,35664,grey,19500,2018
good,172000,silver,2500,2003
like new,17246,"",1500,2014
like new,17246,"",1500,2014
like new,17246,"",1500,2014
like new,17246,"",1500,2014
good,130050,"",4000,2006
excellent,204051,"",3800,2005
good,114901,grey,5950,2008
excellent,80000,silver,14850,2017
excellent,80466,white,12890,2012
excellent,178882,blue,3700,2005
good,148800,blue,6700,2009
fair,180000,"",1000,2011
good,208348,"",5999,2009
good,108348,"",5999,2009
excellent,129000,silver,8900,2012
excellent,13761,grey,20900,2020
excellent,13761,grey,20900,2020
excellent,99000,silver,9500,2015
excellent,160000,brown,5299,2006
good,112000,grey,5600,2007
excellent,21536,grey,18900,2018
good,120731,silver,3997,2003
excellent,13761,grey,20900,2020
good,150678,green,3900,2003
excellent,170139,black,5991,2009
fair,218000,white,2200,2001
excellent,76875,grey,1500,2015
excellent,24360,grey,1500,2019
good,100000,"",100,2006
excellent,209898,silver,3350,2003
good,133288,brown,5500,2007
good,113400,green,5300,2007
fair,173251,silver,3695,2007
good,55360,silver,6500,2005
good,142000,brown,1700,1998
excellent,150780,blue,6999,2004
excellent,126246,brown,3500,2003
excellent,24360,grey,1500,2019
excellent,110000,blue,3995,2004
excellent,24360,grey,1500,2019
excellent,76875,grey,1500,2015
excellent,86619,white,5900,2006
excellent,99000,black,12200,2015
excellent,170139,black,5991,2009
excellent,26200,black,16500,2016
excellent,80966,white,12800,2012
good,178000,"",4000,2010
excellent,212000,red,4500,2005
fair,145000,red,1200,1994
excellent,160676,grey,5495,2011
excellent,81190,silver,11902,2012
excellent,156201,custom,5495,2008
like new,181000,silver,4500,2005
excellent,180000,silver,2800,2004
excellent,86000,red,12980,2014
excellent,86000,red,12980,2014
fair,206666,white,1300,1997
excellent,178550,silver,3800,2002
excellent,157000,silver,4990,2005
excellent,119000,red,4990,2004
excellent,149000,grey,4990,2005
fair,176000,grey,1100,1997
excellent,97200,white,12900,2016
like new,147225,grey,6995,2012
good,180000,white,1600,2000
good,133268,silver,4800,2007
good,160000,"",3300,2004
good,202913,green,6000,2009
good,92000,blue,3500,2006
excellent,138709,grey,6500,2011
good,202000,silver,4950,2009
excellent,193000,"",3400,2001
excellent,119339,silver,1800,2011
excellent,153209,grey,10999,2014
good,161345,"",3800,2003
fair,250000,"",1850,2000
good,213000,"",4500,2007
like new,145000,custom,1799,1996
like new,145000,black,1999,2001
good,213000,"",4500,2007
fair,170000,blue,2950,2002
good,186100,silver,5800,2007
excellent,142000,"",4500,2007
good,122534,white,6500,2010
good,75000,black,4500,2010
good,181200,red,5999,2009
excellent,108000,silver,5900,2009
excellent,73324,grey,6995,2004
excellent,121185,grey,1999,2010
good,45000,"",9500,2011
fair,158000,"",4500,2008
good,44437,red,15988,2016
good,250000,"",599,1997
excellent,62374,grey,14995,2017
excellent,106250,white,7988,2007
good,81000,blue,2500,1999
good,217500,"",2500,1996
good,207861,green,3995,2001
good,138999,custom,6950,2007
good,200000,white,3700,2004
excellent,64000,grey,10500,2014
good,139028,grey,7860,2009
excellent,193191,red,5995,2009
excellent,194260,silver,2995,2002
good,139028,grey,7860,2009
excellent,222000,red,3500,2005
good,242596,black,2450,2002
excellent,85112,"",5995,2000
excellent,222000,red,3500,2005
good,44437,red,15988,2016
good,44437,red,15988,2016
excellent,68000,blue,15000,2017
like new,132000,grey,10000,2014
good,167000,grey,4499,2006
good,179000,grey,4999,2007
excellent,161240,yellow,3400,2003
good,170000,brown,5300,2009
salvage,210000,"",1000,2009
excellent,72289,"",16000,2016
excellent,51167,grey,15500,2016
good,162000,black,3300,2002
like new,122333,grey,4000,2004
good,188000,"",4000,2005
good,147000,silver,4250,2005
excellent,189100,"",3200,2001
excellent,153000,grey,5950,2011
excellent,103944,"",7499,2009
excellent,89694,grey,7995,2011
excellent,173535,"",4999,2011
excellent,70610,blue,7999,2007
excellent,94995,white,3999,2003
excellent,131278,silver,2999,2002
good,220000,brown,2600,1999
like new,39000,blue,12000,2017
good,30866,"",20960,2017
good,25158,"",21960,2018
excellent,107200,brown,5950,2006
excellent,70465,grey,16995,2017
good,55292,grey,19900,2019
good,187048,silver,3950,2005
excellent,161000,"",3995,2005
good,55292,grey,19900,2019
excellent,190000,grey,4300,2009
