Date,Carbon,Per Capita
"01/01/1962",2686,0.86
"01/01/1963",2833,0.88
"01/01/1964",2995,0.92
"01/01/1965",3130,0.94
"01/01/1966",3288,0.97
"01/01/1967",3393,0.98
"01/01/1968",3566,1.01
"01/01/1969",3780,1.05
"01/01/1970",4053,1.1
"01/01/1971",4208,1.12
"01/01/1972",4376,1.14
"01/01/1973",4614,1.18
"01/01/1974",4623,1.16
"01/01/1975",4596,1.13
"01/01/1976",4864,1.18
"01/01/1977",5026,1.19
"01/01/1978",5087,1.19
"01/01/1979",5369,1.23
"01/01/1980",5315,1.2
"01/01/1981",5152,1.14
"01/01/1982",5113,1.11
"01/01/1983",5094,1.09
"01/01/1984",5280,1.11
"01/01/1985",5439,1.12
"01/01/1986",5607,1.14
"01/01/1987",5752,1.15
"01/01/1988",5965,1.17
"01/01/1989",6097,1.17
"01/01/1990",6127,1.16
"01/01/1991",6217,1.16
"01/01/1992",6164,1.13
"01/01/1993",6162,1.11
"01/01/1994",6266,1.11
"01/01/1995",6398,1.12
"01/01/1996",6542,1.13
"01/01/1997",6651,1.13
"01/01/1998",6643,1.12
"01/01/1999",6610,1.1
"01/01/2000",6765,1.11
"01/01/2001",6927,1.12
"01/01/2002",6996,1.12
"01/01/2003",7416,1.17
"01/01/2004",7807,1.21
"01/01/2005",8093,1.24
"01/01/2006",8370,1.27
"01/01/2007",8566,1.28
"01/01/2008",8783,1.3
"01/01/2009",8740,1.28
"01/01/2010",9167,1.33
