date,e5,e10,diesel
2016-11-07,1.31935535488132,1.29904581615124,1.11935656403982
2016-11-08,1.3115345801471,1.29133578714126,1.11175153203569
2016-11-09,1.31046925328197,1.29005388812118,1.11179292951835
2016-11-10,1.30841220381499,1.28809115021887,1.1099067481049
2016-11-11,1.30783721646433,1.28750595592097,1.11133524583903
2016-11-12,1.31164049686164,1.29125976285345,1.11588613470248
2016-11-13,1.31641217452357,1.29626158153412,1.12104372520946
2016-11-14,1.30691311319029,1.28681658092675,1.1101230032742
2016-11-15,1.30649543588605,1.28639413680597,1.10987012036346
2016-11-16,1.30024379966837,1.27997808682467,1.10605084563224
2016-11-17,1.30273387873353,1.28253898403441,1.10927328164522
2016-11-18,1.30202649242609,1.2818673432379,1.10997871318224
2016-11-19,1.30886829657066,1.28869646330573,1.11811702210036
2016-11-20,1.31257852209968,1.29240795909347,1.12175676345881
2016-11-21,1.31221725887421,1.29193796535398,1.12025238603096
2016-11-22,1.31027661487127,1.29017879857675,1.12108035113907
2016-11-23,1.31404410351369,1.29393956603959,1.12678274461182
2016-11-24,1.320288696513,1.30026219269649,1.13291716440106
2016-11-25,1.32424585764723,1.30402958423978,1.13547991073348
2016-11-26,1.32720721391666,1.30712460357094,1.13841595248038
2016-11-27,1.3304629191419,1.31007396281419,1.14198017208506
2016-11-28,1.32662560355177,1.30664943443637,1.13629846460198
2016-11-29,1.32219071335248,1.30212054259887,1.13225936924919
2016-11-30,1.32252882832736,1.30239810368896,1.13416120482797
2016-12-01,1.330394646499,1.31042611531401,1.14176373219077
2016-12-02,1.33765495401721,1.31778182357579,1.14642684071694
2016-12-03,1.35000121620279,1.3301086932475,1.15814048531095
2016-12-04,1.35665733684274,1.33659640771778,1.16538735001467
2016-12-05,1.35270596722949,1.33291503113593,1.16064805993165
2016-12-06,1.35036884122519,1.33062939057241,1.15865944821527
2016-12-07,1.35355555086141,1.33354631802699,1.16312867013855
2016-12-08,1.35125862383712,1.33130414017257,1.16017366249682
2016-12-09,1.35136460442095,1.33148642469851,1.16075701338539
2016-12-10,1.35624112436367,1.33637736171295,1.16630038736697
2016-12-11,1.3753625398279,1.35529781682617,1.18634237367185
2016-12-12,1.35953494512362,1.33969605624612,1.17041688672525
2016-12-13,1.36260181265888,1.3426587677298,1.17519144529739
2016-12-14,1.3679979140159,1.34795078916637,1.18261295939012
2016-12-15,1.36163506201334,1.34164869795706,1.17739757234019
2016-12-16,1.36544325666042,1.34547480981751,1.18180183900006
2016-12-17,1.37229622458694,1.3521677217065,1.18692058110593
2016-12-18,1.3756509884318,1.35589435332252,1.18936076110289
2016-12-19,1.37392689585419,1.35407840538124,1.18766585685896
2016-12-20,1.37189137225902,1.35190878010267,1.18716211473715
2016-12-21,1.3748213943635,1.3548992576129,1.18928160227502
2016-12-22,1.37648398976805,1.35654032002952,1.18857849761639
2016-12-23,1.37636790774611,1.35639996113003,1.18577598483083
2016-12-24,1.3871560218786,1.36685090906253,1.19532144896586
2016-12-25,1.39561965065962,1.37559467436308,1.20301634539715
2016-12-26,1.39055159320132,1.37048206865287,1.19930701113411
2016-12-27,1.38265399382364,1.36257643100786,1.19216875213381
2016-12-28,1.38208633419425,1.36178985910146,1.19204327029971
2016-12-29,1.38393486748335,1.36393815583877,1.19507095990951
2016-12-30,1.38833871443221,1.36830131706302,1.19883030829316
2016-12-31,1.39419921475945,1.37397447043763,1.20505707734919
2017-01-01,1.41289342246687,1.39305700349898,1.22372861106011
2017-01-02,1.39601234148302,1.37597217940418,1.20665078010419
2017-01-03,1.38600889042054,1.36588408457471,1.20515220404229
2017-01-04,1.39560217637536,1.37542231263958,1.20677885027817
2017-01-05,1.39443081379536,1.37423768079105,1.20402067074554
2017-01-06,1.39323923629019,1.37304812995346,1.20135066214495
2017-01-07,1.39780629895431,1.37737981338583,1.20462110280831
2017-01-08,1.40412433824235,1.38377373836549,1.20863506877299
2017-01-09,1.39594961604645,1.37563869201405,1.20194704294095
2017-01-10,1.39081094337113,1.37054286960881,1.19798082746794
2017-01-11,1.38612640239527,1.36564851983986,1.19421333306566
2017-01-12,1.38478492068091,1.36451391525593,1.19072173978599
2017-01-13,1.38558366354551,1.36536029159463,1.1900846414428
2017-01-14,1.39067441432621,1.37059133453901,1.19304836298297
2017-01-15,1.39875700197094,1.37858945837841,1.19884448202673
2017-01-16,1.3891622980763,1.36878065257434,1.19036804429883
2017-01-17,1.38729253670269,1.36629809373135,1.18898057687435
2017-01-18,1.39080406196242,1.36979325841639,1.1895045464271
2017-01-19,1.38585278028344,1.3646893793433,1.18470950194276
2017-01-20,1.38478310780002,1.36370373533748,1.18267737887222
2017-01-21,1.38713754231908,1.36603457785899,1.18579114393246
2017-01-22,1.3905447601913,1.36957944057165,1.18647690590116
2017-01-23,1.38560522165736,1.36453518550387,1.18124763716991
2017-01-24,1.38483649262238,1.36368914052266,1.18145794450237
2017-01-25,1.38164851399178,1.36051106892552,1.17936822927235
2017-01-26,1.38020052635849,1.35909642329763,1.17582033556583
2017-01-27,1.3847013774285,1.36363512966219,1.18027574917847
2017-01-28,1.3883302330239,1.36725599809918,1.18472206646415
2017-01-29,1.39612181643017,1.37499122852125,1.19105731909895
2017-01-30,1.38982582092047,1.36872759310948,1.18575644989817
2017-01-31,1.3847852377053,1.36356966795854,1.18394668189831
2017-02-01,1.38398793250138,1.362817647517,1.18133577949683
2017-02-02,1.38658862773373,1.36545625099985,1.18248334998196
2017-02-03,1.39000147030993,1.36898268762191,1.18386199577592
2017-02-04,1.40118895173701,1.38001841360613,1.19436953051507
2017-02-05,1.40691170943749,1.38575508717101,1.20027224405591
2017-02-06,1.39445154030824,1.3733660404435,1.18727983807215
2017-02-07,1.39469994627588,1.37337975750244,1.18825347082023
2017-02-08,1.38877232767472,1.3673287770526,1.18316514410629
2017-02-09,1.38954929667173,1.36837746847712,1.18549869005953
2017-02-10,1.39411199266438,1.3728417637642,1.18899748632172
2017-02-11,1.39749490286471,1.37640576665989,1.18946104084346
2017-02-12,1.40627212803321,1.38504702469654,1.1968040215891
