pct_leave,pct_under_30,pct_30_to_59,pct_60_and_over,pct_college,pct_oth_eu,pct_non_eu,scotland,wales
69.57,37.5878840684891,40.9215560144903,21.490559862771,12.1126751019654,0.410864602240355,1.20054473563373,0,0
65.48,41.2420749664307,39.1583552704757,19.5995699084202,13.5607480532647,0.679771047699927,3.36614230991996,0,0
66.19,35.9910011291504,41.5260328321306,22.4829658166346,13.2738928764913,0.537595798225719,1.28391623306015,0,0
61.73,37.9074931144714,42.381507555715,19.7109995067486,16.3325096669014,0.575481855650136,2.21445007666478,0,0
56.18,35.8020395040512,41.9274719434167,22.2704879494675,17.6512439585547,0.975934011277999,2.07386474666072,0,0
57.42,39.5193219184876,42.300859501895,18.179818624797,12.0318160899075,0.478861793651007,0.959702499506985,0,0
54.27,36.9531095027924,43.7685786058196,19.278312748587,21.2555601540144,0.741423490392896,1.97264597226374,0,0
56.34,43.6175167560577,38.8041027133193,17.5783807376155,14.5876894526039,0.728467385140192,9.95298578909476,0,0
67.46,33.7102830410004,40.7483676897451,25.5413506884168,10.6823778031183,0.878702368520298,1.77003524928543,0,0
67.62,41.2748515605927,38.8387817183863,19.8863659689066,10.4669786546716,0.879090314926584,2.02374548561286,0,0
60.4,32.9161792993546,42.8485927038996,24.2352274499941,19.4800841439263,0.840265405051391,1.63396779023083,0,0
69.87,37.8771871328354,40.4313231505453,21.6914906411612,11.1241638536552,0.72478199942795,1.59854051073037,0,0
66.3,35.0463539361954,42.7690073209507,22.184639742491,13.7374519780168,0.903385673901129,2.16606908452212,0,0
41.96,37.5672310590744,40.642428793886,21.7903409279159,25.6459688824457,1.63564736238127,3.18823718731804,0,0
57.22,40.0517791509628,39.1321016832951,20.8161184982048,18.8795038178344,0.902590823321118,6.93608906697217,0,0
48.92,45.2231168746948,37.2805184319862,17.4963650458522,17.5056324068793,1.19478654336755,23.5955287810405,0,0
50.57,35.4106992483139,42.2735294968608,22.3157712004166,25.4504746730902,1.90270815023925,3.31163116610531,0,0
50.84,45.6132858991623,36.0210945810299,18.3656194285886,18.3853917707051,1.35478419197931,8.42936986615429,0,0
59.22,32.9940348863602,42.0898833997633,24.9160809968491,20.8477519835065,1.02537262729458,1.95659538684121,0,0
63.22,40.1212692260742,42.7746723511764,17.1040581083215,15.1404003097496,1.13939444966674,3.49256465740836,0,0
69.36,38.882377743721,40.1195166143054,20.9981050216925,10.4221553044372,0.633610138958541,2.94398558248242,0,0
42.15,36.5895658731461,40.6578324656886,22.7526029342168,27.8448725043701,1.76528089275167,4.23459792936656,0,0
38.27,42.0627146959305,38.9309407143702,19.0063449942856,26.5288316361674,1.69415633626143,6.05229902151349,0,0
52.17,32.5602978467941,42.6147090642965,24.824993105789,20.9530522039216,0.937090435974035,2.420495967999,0,0
52.68,36.7312461137772,43.931591224592,19.3371627700587,20.3039310160905,0.87333707489439,2.49914477743855,0,0
59.94,38.5136246681213,40.6754735792622,20.810900631439,14.5642471704625,1.13854615669995,2.79754034568776,0,0
63.16,31.7271381616592,39.6943857647295,28.578477479839,14.4863285879782,1.09600487445717,2.25016179720671,0,0
54.88,36.4136964082718,37.8955483223612,25.6907564670468,19.1315487422406,2.52553387224024,5.08265325991246,0,0
58.17,33.4136009216309,41.0303135485364,25.5560858498207,18.3591004349406,1.52761977799788,3.18985350479949,0,0
54.66,38.8278871774673,42.9667149863094,18.205397359637,17.2268506251612,1.69989030532653,5.1570278874863,0,0
60.89,40.4944211244583,40.972440263743,18.5331376833418,15.6603295148429,2.19798553421305,7.3169726639466,0,0
56.55,44.4348633289337,39.2919710800505,16.2731666042924,16.1124960409103,1.37376874156275,16.2888917905913,0,0
58.08,35.8623951673508,40.2896597340522,23.8479442395652,14.7522341177222,1.17381889081467,4.17123750864153,0,0
72.28,40.4505044221878,42.3040914426248,17.2454027164496,10.6333066774531,0.705785634305224,3.69057032789536,0,0
64.08,40.4203802347183,42.4645674341051,17.1150516257295,12.8714153976686,1.2007025969253,4.4147204085138,0,0
53.94,40.3970181941986,45.0258627767591,14.5771185126395,24.8506977716038,2.01316847654238,6.63630853584858,0,0
48.22,37.1213227510452,45.0558197158143,17.8228580525045,24.8761446320758,1.504721172412,4.34297482933475,0,0
41.97,44.4037556648254,39.21143847487,16.3848046066976,30.1048385092017,2.46089017164084,11.1524736613994,0,0
54.33,44.1532909870148,40.6510620071053,15.195646148807,20.8964136266633,1.94585302540235,23.2870694622343,0,0
46.1,36.0857903957367,43.5948093933815,20.319398919372,32.8283684518038,3.07296657112301,9.60561924328333,0,0
43.31,38.1437659263611,45.2935185616625,16.5627142562355,33.2903825716222,1.95111163610464,6.71183251692791,0,0
51.41,41.6749984025955,44.3848795259277,13.9401227681267,20.6923182522615,1.61754159952255,7.91840027219991,0,0
31.38,38.3480548858643,41.0488384574101,20.6031063244249,31.0714341428546,2.95090549829922,7.08498160023643,0,0
58.08,41.4598733186722,39.0501389922925,19.4899866631673,18.6852854350551,1.78484212556443,5.44484622951081,0,0
53.8,45.1475083827972,36.3705764676125,18.4819149670032,19.8679338264541,1.96629896799588,6.53105861954859,0,0
61.95,31.3822686672211,40.2573626357068,28.3603679622696,16.3924788887453,1.1039571976865,2.33826516061379,0,0
57.55,35.7446253299713,42.3055099600786,21.9498652400349,15.5104761992215,0.640572834426519,1.25122271876277,0,0
51.18,33.9867025613785,43.6425755435354,22.3707211419573,25.7655629128662,0.927477040788354,2.21285580879738,0,0
50.68,35.6115937232971,42.6171922315985,21.7712154200223,23.7765716368131,1.00959460803818,1.99686288850685,0,0
