"pricemay","pricejuly","pricechange","population","competition","border","highway","aral","shell","esso","totalenergies"
1.99233333333333,1.874,-0.118333333333333,0.258016568161011,155.028804100048,0,0,0,0,0,0
2.038,1.88816666666667,-0.149833333333333,0.0341613293991089,351.27438571852,0,0,0,0,0,0
1.96608333333333,1.8346,-0.131483333333333,0.38042217477417,115.660975930543,0,0,0,0,0,0
1.99185714285714,1.827125,-0.164732142857143,0.101215603805542,128.438694343769,0,0,0,0,0,0
1.97508695652174,1.81519047619048,-0.159896480331263,0.144550879638672,124.52362825459,0,0,0,0,0,0
1.969,1.82833333333333,-0.140666666666667,0.375063034866333,125.312269220959,0,0,0,1,0,0
2.01507142857143,1.85764864864865,-0.15742277992278,0.633725477615356,52.0730208357341,0,0,1,0,0,0
1.979,1.84370588235294,-0.135294117647059,0.907290522216797,73.8462469951718,0,0,0,1,0,0
1.98214285714286,1.85166666666667,-0.130476190476191,0.360678255096436,88.7217334226153,0,0,0,1,0,0
1.98005263157895,1.86114285714286,-0.11890977443609,0.346687792251587,109.608705149975,0,0,1,0,0,0
2.43185714285714,2.319,-0.112857142857143,0.0920287153015137,184.724951818603,0,1,0,0,1,0
2.019,1.803375,-0.215625,0.0879157749862671,102.370706524578,0,0,0,0,0,0
1.96689473684211,1.82627272727273,-0.140622009569378,0.486369005371094,76.0739265689216,0,0,0,0,0,1
1.99669230769231,1.85694871794872,-0.13974358974359,0.899265029785156,67.833172623841,0,1,1,0,0,0
1.96381481481482,1.824,-0.139814814814815,0.154736864334106,96.9387615843897,0,0,0,0,0,0
1.949,1.81261111111111,-0.136388888888889,0.51743547442627,57.978243631757,0,0,0,0,1,0
1.964,1.8515,-0.1125,0.112838367637634,79.7601045497426,0,0,0,0,0,0
1.98233333333333,1.85630769230769,-0.126025641025641,0.103945566623688,115.44503906976,0,0,0,1,0,0
1.96585714285714,1.85290243902439,-0.112954703832753,0.736581915527344,82.8149574597254,0,0,0,0,0,0
1.9566,1.81007142857143,-0.146528571428572,0.220835136901855,131.319682215644,0,0,0,0,0,0
2.01704878048781,1.83383870967742,-0.183210070810386,0.0645024004516602,186.039587921896,0,0,0,0,0,0
1.98983333333333,1.813,-0.176833333333333,0.169567848121643,153.330954470498,0,0,0,0,0,1
2.02061290322581,1.839,-0.181612903225806,0.137120747764587,109.392635648052,0,0,0,0,0,0
1.9842,1.84852380952381,-0.135676190476191,0.354831482147217,104.27485119443,0,0,0,0,0,1
2.01707692307692,1.89117391304348,-0.125903010033445,0.118499094089508,168.777661581894,0,0,0,0,0,0
1.98852380952381,1.8298,-0.15872380952381,0.493412607788086,79.0413527834902,1,0,0,1,0,0
2.029,1.8752962962963,-0.153703703703704,0.155560488845825,83.5687782704527,0,0,0,0,0,0
2.069,1.885,-0.184,0.259871925643921,115.441481128309,0,0,0,0,0,0
1.97159259259259,1.83925,-0.132342592592593,0.540194731140137,55.5355287095857,0,0,0,0,0,0
1.982,1.8231935483871,-0.158806451612903,0.0988144767150879,60.7198479358426,0,0,0,0,0,0
1.99733333333333,1.8578,-0.139533333333334,0.0347922792663574,86.2260266719825,0,0,0,0,0,0
1.93578571428571,1.7974375,-0.138348214285714,0.21649060647583,92.3827611995391,0,0,0,0,0,0
1.99268421052632,1.86316666666667,-0.129517543859649,0.0874013418807983,137.2976631911,0,0,0,0,1,0
1.98669230769231,1.85536363636364,-0.131328671328671,0.67487577746582,102.241037986423,0,0,0,0,0,1
1.95476923076923,1.81421739130435,-0.140551839464883,0.106202001144409,141.240276438893,0,0,0,0,0,0
1.98042857142857,1.85441666666667,-0.126011904761905,0.10116965700531,59.3063194796151,0,0,0,0,0,0
1.99476923076923,1.84169230769231,-0.153076923076923,0.791562842468262,50.5329430008001,0,0,0,0,0,1
1.9838275862069,1.85547058823529,-0.128356997971602,0.0249143989505768,40.13743225288,0,0,1,0,0,0
1.9827037037037,1.82053846153846,-0.162165242165242,0.21620193119812,60.1289726135112,0,0,1,0,0,0
2.03455555555556,1.86811764705882,-0.166437908496732,0.0438296850128174,114.077935959107,0,0,0,0,1,0
1.989,1.839,-0.15,0.922118758789063,88.9256391526872,0,0,1,0,0,0
1.95693103448276,1.80978947368421,-0.147141560798548,0.105074464347839,190.341203489668,0,0,0,0,0,0
1.9658,1.82746153846154,-0.138338461538462,0.868567718688965,63.322638887637,0,1,0,0,0,1
1.9855625,1.8482,-0.1373625,0.79726229284668,97.8348038027682,0,0,0,0,0,1
2.0075,1.83818918918919,-0.169310810810811,0.0303929282875061,164.511953330124,0,0,0,0,1,0
1.95934482758621,1.83316666666667,-0.12617816091954,0.746997209655762,85.6763575187826,0,0,0,0,0,0
1.95455555555556,1.80828571428571,-0.146269841269841,0.454938302978516,92.3202107297249,0,0,0,0,0,0
2.10483333333333,1.82170833333333,-0.283125,0.0592162517242432,236.421583473315,0,0,0,0,0,0
2.02370588235294,1.86566666666667,-0.158039215686274,0.118693548149109,219.051502001924,0,0,0,0,0,1
2.00066666666667,1.84693103448276,-0.153735632183908,0.704585774597168,70.9636807932809,0,0,0,1,0,0
1.999,1.9615,-0.0375000000000001,0.0288790844497681,103.881409579246,0,0,0,0,0,0
1.954,1.81682608695652,-0.137173913043479,0.101000052520752,89.1088645538161,0,0,0,0,0,0
2.05275,1.8422,-0.21055,0.0232580495452881,42.9958667880898,0,0,0,0,0,0
1.96627272727273,1.82851219512195,-0.137760532150776,0.0808258651504517,61.8613854697732,0,0,0,0,0,0
1.98862962962963,1.84933333333333,-0.139296296296296,0.113607419334412,158.44035632053,0,0,1,0,0,0
