rating,length,year,comedy,action,drama,documentary,romance,horror,thriller
56,124,2016,0,0,1,0,0,0,0
37,90,2009,0,1,0,0,0,0,1
63,108,2016,0,0,1,0,0,1,1
58,169,2019,0,1,1,0,1,0,0
63,85,2014,1,0,0,0,0,0,0
73,107,2021,1,0,0,0,0,0,0
39,160,2016,1,1,0,0,1,0,0
64,107,2020,0,0,1,0,1,0,0
84,134,2018,0,1,0,0,0,0,0
51,141,2009,0,0,1,0,0,0,0
56,107,2013,1,0,1,0,0,0,0
42,127,2017,0,0,1,0,0,0,0
52,84,2017,1,0,1,0,0,0,0
49,82,2015,0,0,0,0,0,0,1
59,97,2019,0,1,0,0,0,0,1
67,94,2018,1,0,0,0,1,0,0
46,118,2021,0,0,1,0,0,0,0
42,82,2012,0,0,0,1,0,0,0
50,82,2016,1,0,1,0,0,1,0
50,69,2017,1,0,0,0,0,0,0
60,104,2013,0,0,1,0,0,0,0
77,98,2018,0,0,0,0,0,1,0
48,95,2013,0,0,1,0,0,0,0
38,89,2016,0,0,1,0,0,0,0
89,121,2014,1,1,0,0,0,0,0
44,101,2021,1,0,1,0,1,0,0
45,81,2015,1,0,0,0,0,0,0
71,109,2017,1,0,1,0,0,0,0
42,90,2000,0,0,1,0,0,0,0
46,140,2007,0,0,1,0,0,0,0
70,85,2017,0,0,0,1,0,0,0
49,110,2019,0,0,1,0,0,0,0
50,94,2002,0,1,1,0,0,0,1
34,68,2020,1,0,0,0,0,0,0
53,96,2009,0,0,1,0,1,0,0
58,96,2019,0,0,0,0,0,0,1
45,114,2019,0,0,1,0,0,0,0
52,92,2017,1,0,1,0,0,0,0
37,105,2013,1,0,1,0,0,0,0
49,93,2016,1,0,1,0,1,0,0
59,106,2015,0,0,0,1,0,0,0
53,68,2013,0,0,0,1,0,0,0
28,74,2007,0,0,0,0,0,0,0
52,94,2014,0,1,1,0,0,0,0
84,143,2012,0,1,0,0,0,0,1
53,110,2021,0,0,0,0,0,0,0
56,82,2018,0,0,0,0,0,0,1
74,95,2018,0,1,1,0,0,0,1
54,108,2020,0,0,1,0,0,0,0
51,128,2020,1,0,1,0,1,0,0
36,82,2006,0,0,1,0,1,0,0
41,75,2014,1,0,0,0,0,0,0
36,85,2008,0,0,0,0,0,1,0
53,100,2013,0,0,1,0,0,0,0
45,80,2016,0,0,0,1,0,0,0
66,84,1998,1,0,0,0,0,0,0
30,93,2007,0,1,0,0,1,0,0
37,113,2018,1,0,0,0,1,0,0
53,100,2018,0,0,1,0,0,1,1
44,92,2009,0,0,0,0,0,0,0
29,82,2005,1,0,0,0,1,0,0
40,80,2019,1,0,0,0,0,1,1
63,102,2019,1,0,1,0,1,0,0
63,95,2017,0,0,1,0,1,0,0
58,100,2020,0,0,0,1,0,0,0
48,120,2018,0,0,1,0,0,0,0
70,120,2006,0,0,1,0,0,0,0
63,102,2020,1,0,0,0,0,0,0
62,117,2007,0,0,1,0,1,0,0
74,85,2020,1,0,0,1,0,0,0
40,88,2017,1,0,1,0,0,0,0
54,96,2018,1,0,1,0,1,0,0
62,95,2019,1,0,0,0,0,0,0
48,89,2009,0,1,0,0,0,1,1
61,98,2006,1,0,0,0,0,0,0
51,126,2019,0,1,0,0,0,0,0
79,165,2000,0,1,1,0,0,0,0
46,95,2020,1,0,0,0,0,0,0
63,90,2010,1,1,0,0,0,0,0
69,98,2021,1,0,0,0,1,0,0
54,90,2008,1,0,1,0,0,0,0
76,130,2003,0,0,1,0,0,0,1
54,93,2015,0,1,0,0,1,1,1
45,74,2018,1,0,0,0,0,0,0
41,110,2006,0,1,1,0,0,0,1
55,138,2018,0,1,0,0,0,0,1
42,96,2000,0,0,0,0,0,0,0
34,105,2018,0,1,1,0,0,0,1
67,95,2005,1,1,1,0,0,0,0
54,75,2014,0,0,0,1,0,0,0
61,87,2016,0,0,0,0,0,1,1
35,72,2015,0,1,0,0,0,0,0
65,143,2004,1,0,1,0,1,0,0
92,94,2017,0,0,0,1,0,0,0
70,88,2016,1,0,0,0,1,0,0
55,97,2019,1,0,0,0,0,0,0
42,95,2018,1,0,0,0,0,0,0
39,102,2018,1,0,0,0,0,0,0
45,86,2018,0,0,1,0,0,0,0
56,91,2018,0,1,0,0,0,0,0
64,155,2018,1,1,0,0,1,0,0
54,108,2010,1,0,0,0,0,0,0
59,87,2008,1,0,0,0,0,0,0
82,94,2018,0,1,0,0,0,0,1
63,107,2019,0,1,1,0,0,0,0
86,136,2014,0,1,0,0,0,0,1
49,110,2018,0,0,1,0,0,0,0
51,87,2019,1,0,1,0,0,0,0
46,84,2019,0,0,0,1,0,0,0
66,96,2018,0,0,1,0,0,0,0
64,129,2018,0,1,1,0,0,0,0
77,102,2014,1,0,0,0,1,0,0
51,120,2020,0,0,1,0,0,0,0
60,86,2009,0,0,0,1,0,0,0
67,103,2020,0,0,0,1,0,0,0
53,100,1999,0,1,0,0,1,1,0
63,97,2009,1,0,0,0,0,0,0
46,139,1999,1,1,0,0,1,0,0
62,98,2020,0,1,1,0,0,1,1
44,95,2020,0,0,1,0,0,0,0
42,140,2019,0,1,0,0,0,0,0
67,97,2019,1,0,0,0,0,0,0
47,89,2020,1,0,0,0,0,0,0
61,87,2017,0,0,1,0,0,0,1
50,88,2017,0,0,0,0,0,0,1
77,90,2010,1,0,1,0,1,0,0
65,141,2019,0,0,1,0,0,0,1
80,101,2018,1,0,1,0,0,0,0
52,104,2017,0,0,0,0,0,0,1
68,96,2017,0,0,1,0,0,0,0
46,115,2020,0,1,1,0,0,0,1
48,90,2015,1,0,0,1,0,0,0
72,128,2016,0,0,1,0,0,0,0
55,85,2021,0,0,1,0,1,0,0
48,75,2016,1,0,0,0,0,0,0
77,109,2011,1,0,0,0,1,0,0
66,100,2017,0,0,0,1,0,0,0
42,114,2018,1,0,1,0,0,0,0
74,102,2020,0,0,0,1,0,0,0
39,88,2020,1,0,0,0,0,0,0
65,104,2016,1,1,0,0,0,0,0
67,175,2004,0,1,1,0,0,0,0
54,93,2016,0,0,1,0,1,0,0
59,153,2006,1,0,0,0,0,0,0
41,90,2021,1,0,0,0,0,0,0
60,118,2020,1,0,1,0,0,0,0
69,104,2008,0,1,0,0,0,0,0
50,100,2020,0,0,0,0,0,1,0
54,94,2021,0,0,0,1,0,0,0
66,98,2014,0,0,1,0,1,0,0
50,111,2015,1,0,0,0,1,0,0
54,100,2013,1,0,0,0,1,0,0
80,135,2019,0,0,1,0,0,0,1
43,100,2015,0,0,1,0,1,0,0
41,102,2012,0,0,1,0,1,0,0
42,95,2020,1,0,0,0,0,0,0
44,77,2014,0,0,0,1,0,0,0
71,116,2017,0,0,1,0,1,1,1
61,104,2021,0,0,0,1,0,0,0
59,99,2013,1,0,0,0,1,0,0
52,90,2012,0,1,0,0,0,0,0
67,119,2015,0,0,1,0,0,0,0
48,153,2019,0,0,1,0,0,0,0
45,137,2013,1,0,0,0,0,0,1
65,94,2005,1,0,0,0,0,0,0
48,98,2019,0,0,1,0,0,0,1
71,99,2014,0,1,1,0,0,0,1
52,153,2019,0,1,0,0,0,0,0
87,93,2020,0,0,1,0,0,1,1
39,82,2018,0,0,0,1,0,0,0
65,111,2004,1,0,0,0,1,0,0
53,92,2009,0,1,1,0,0,0,1
47,124,2014,0,1,1,0,1,0,1
39,99,2016,0,1,0,0,0,0,1
45,90,2018,0,0,1,0,1,0,0
50,102,2005,0,0,1,1,0,0,0
63,88,2016,1,0,1,0,1,0,0
59,82,2012,0,0,1,0,1,0,0
57,85,2017,0,0,1,0,0,0,0
50,96,2015,0,1,1,0,0,0,0
76,98,2019,0,0,0,0,0,0,1
61,96,2017,0,0,1,0,1,0,0
43,71,2017,1,0,0,0,0,0,0
53,96,2020,0,0,0,1,0,0,0
66,113,2013,0,0,1,0,0,1,1
67,90,2013,1,1,0,0,0,0,0
51,93,2021,0,0,0,1,0,0,0
65,90,2019,0,0,1,0,0,1,1
41,80,2018,0,0,0,0,0,1,0
34,88,2014,0,0,1,0,0,0,0
43,124,2020,0,0,0,0,0,0,1
44,145,2015,1,1,0,0,0,0,0
46,89,2017,1,0,0,0,0,0,0
41,93,2018,1,0,0,0,0,0,0
66,90,2009,1,0,0,0,0,0,0
65,94,2017,0,1,1,0,0,0,1
36,86,2013,1,0,1,0,0,0,0
72,90,2008,1,0,1,0,1,0,0
49,240,2005,0,0,1,0,0,0,1
42,107,2020,0,0,1,0,0,0,1
49,114,2016,0,0,0,0,0,0,1
49,92,2004,0,1,0,0,0,0,0
52,101,2018,0,0,0,0,0,1,1
38,139,2018,1,0,0,0,1,0,0
76,127,2016,0,0,1,0,0,0,1
46,120,2005,1,0,1,0,0,0,0
56,92,2017,0,0,0,1,0,0,0
35,118,2018,0,0,0,1,0,0,0
59,162,2014,1,0,0,1,0,0,0
38,83,2016,0,0,0,0,0,0,1
50,91,2017,1,0,0,0,0,0,0
66,75,2014,0,1,0,1,0,0,0
35,95,2001,1,0,1,0,0,0,0
89,113,2019,0,0,1,0,0,0,1
40,86,2014,0,0,1,0,0,0,0
60,100,2017,0,1,1,0,0,0,0
47,91,2018,0,0,0,1,0,0,0
39,101,2008,1,0,0,0,0,0,0
55,100,2010,0,0,1,0,0,0,0
17,80,2019,0,0,0,0,0,0,0
39,118,2017,1,0,0,0,0,0,0
45,88,2012,0,0,1,0,0,0,0
48,93,1998,1,0,0,0,0,0,0
74,145,2008,1,0,1,0,1,0,0
69,95,2017,1,0,1,0,0,0,0
49,110,2014,0,0,0,0,0,0,1
40,184,2016,0,1,0,0,0,0,1
54,80,2016,0,0,0,1,0,0,0
48,105,2019,0,0,1,0,1,0,0
93,104,2018,0,0,1,0,0,1,1
57,113,2020,0,0,1,0,0,0,0
56,74,2014,1,0,0,0,0,0,0
57,92,2019,0,0,0,0,0,1,1
45,90,2007,1,0,0,0,0,0,0
40,88,2000,0,0,0,0,0,0,1
63,103,2021,1,0,1,0,0,0,0
49,79,2017,1,0,0,0,0,0,0
34,90,2011,1,0,0,0,0,0,0
36,103,2019,1,0,0,0,0,0,0
43,98,2021,0,0,1,0,0,0,0
81,118,2018,1,1,0,0,0,0,0
