rating,length,year,comedy,action,drama,documentary,romance,horror,thriller
55,90,2019,1,0,0,0,0,0,0
83,117,2010,1,1,0,0,0,0,0
43,90,2014,0,0,0,1,0,0,0
32,124,2019,0,0,0,0,0,0,1
43,84,2012,0,1,1,0,0,0,1
54,91,2014,0,0,0,0,0,1,0
49,151,2020,0,0,1,0,0,0,1
61,95,2008,1,0,0,0,1,0,0
62,104,2004,0,0,1,0,1,0,0
38,95,2021,0,0,0,0,0,0,0
63,162,2007,1,1,1,0,1,0,1
58,149,2002,1,0,1,0,1,0,0
39,105,2020,0,0,0,0,0,0,1
40,92,2016,0,0,0,0,0,0,1
54,109,2020,0,0,1,0,0,0,1
74,108,2015,0,0,1,0,0,0,0
67,103,2018,0,0,1,0,0,0,1
58,94,2014,1,1,1,0,0,0,1
44,115,2015,1,0,1,0,1,0,0
57,88,2021,0,0,0,0,0,1,1
59,102,2019,0,0,1,0,0,0,0
50,100,2019,0,0,1,0,0,0,0
40,80,2015,1,0,0,0,0,1,1
44,81,2017,0,0,0,1,0,0,0
65,88,2008,0,0,1,0,0,0,0
36,94,2019,1,0,1,0,0,0,0
56,150,2019,1,1,1,0,0,0,0
43,91,2020,1,0,0,0,1,0,0
53,90,2005,1,0,0,0,0,0,0
72,119,2010,0,0,1,0,1,0,0
77,91,2019,0,0,0,1,0,0,0
88,140,2005,0,1,0,0,0,0,0
57,141,2015,1,0,0,0,1,0,0
37,129,2014,0,0,0,1,0,0,0
73,103,2005,0,0,0,1,0,0,0
58,110,2020,0,0,1,0,0,0,0
38,90,2004,0,1,1,0,0,0,1
88,112,2011,1,0,1,0,0,0,0
59,75,2012,1,0,1,1,0,0,0
54,107,2019,1,0,1,0,0,0,0
44,84,2010,1,0,0,0,0,0,0
76,92,2004,1,0,0,0,0,0,0
64,148,2019,1,0,0,0,0,0,1
28,88,2008,0,0,0,0,0,0,1
57,103,2020,1,1,0,0,0,1,1
66,101,2013,0,1,1,0,1,0,1
58,90,2018,0,0,1,0,0,0,0
46,102,2007,1,0,0,0,0,0,0
45,120,2016,0,1,1,0,0,0,0
50,100,2020,1,0,0,0,0,0,0
54,102,2018,1,0,1,0,1,0,0
72,109,2008,0,1,0,0,0,0,1
42,87,2018,0,0,0,0,0,0,0
44,77,2020,0,0,1,0,1,0,0
68,103,2005,1,0,1,0,1,0,0
74,88,2013,0,1,0,0,0,1,0
56,98,2014,0,0,1,0,0,0,1
10,103,2017,1,0,0,0,0,0,0
43,77,2018,0,0,1,0,0,0,0
44,72,2021,0,0,1,0,0,0,0
44,79,2008,1,0,0,0,0,0,0
51,93,2006,1,0,0,0,0,0,0
51,92,2016,0,0,1,0,0,0,1
68,110,2007,1,0,0,0,0,0,0
67,153,2005,1,0,1,0,0,0,0
38,87,2016,0,0,0,0,0,0,1
44,73,2016,0,0,1,0,0,0,1
82,134,2003,0,1,0,0,0,0,1
40,97,2011,0,0,1,0,0,0,0
41,95,2019,0,1,1,0,0,0,0
40,113,2004,0,0,1,0,0,0,0
69,91,2018,0,0,1,0,0,0,0
47,116,2020,1,0,1,0,0,0,0
39,89,2014,0,0,0,0,0,0,1
69,99,2008,1,0,0,0,1,0,0
56,91,2006,0,1,0,0,1,0,0
57,111,2015,0,0,1,0,0,0,0
63,113,2014,0,1,1,0,0,0,1
46,85,2018,0,0,1,0,0,0,0
66,141,2013,0,0,1,0,0,0,0
61,121,2020,0,0,1,0,0,0,0
45,86,2018,0,0,1,0,0,0,0
47,83,2019,0,0,0,1,0,0,0
45,85,2016,0,0,0,1,0,0,0
61,104,2015,0,0,0,0,0,1,0
56,100,2007,0,0,1,1,0,0,0
10,107,2016,1,0,0,0,0,0,0
41,92,2018,0,0,1,0,1,0,0
51,107,2017,1,0,1,0,1,0,0
45,90,2014,0,1,0,0,0,0,0
49,119,2019,0,1,0,0,0,0,1
57,87,2015,1,0,0,0,0,0,0
39,100,2009,0,1,1,0,0,0,1
43,90,2018,1,0,1,0,0,0,0
10,95,2016,0,0,0,1,0,0,0
53,92,2011,0,0,1,0,0,0,0
61,105,2016,1,0,1,0,0,0,0
62,122,2008,0,0,0,1,0,0,0
44,111,2009,0,1,1,0,0,0,1
65,80,2016,0,0,1,0,1,0,0
45,112,2020,1,0,0,0,0,0,0
48,112,2019,0,0,0,0,0,0,0
48,104,2013,0,0,1,0,0,0,0
67,105,2012,1,0,1,0,0,0,0
35,112,2016,1,0,1,0,0,0,0
73,104,2016,1,0,1,0,0,0,0
51,85,2017,1,0,0,0,0,0,0
84,123,2020,1,0,0,0,0,0,0
55,89,2013,0,0,1,0,0,0,0
57,97,2019,0,0,0,1,0,0,0
58,97,2017,0,1,0,0,0,0,1
50,90,2014,0,0,0,0,0,1,0
55,87,2016,1,0,0,0,0,0,0
38,110,2013,1,0,0,0,0,0,0
57,100,2016,0,0,1,0,0,0,0
69,84,2009,0,0,1,0,1,1,1
48,79,2016,0,0,0,0,0,0,0
51,100,2009,0,0,1,0,0,0,1
40,92,2019,0,0,0,1,0,0,0
64,97,2008,0,0,1,0,1,0,0
53,108,2019,0,0,1,0,0,0,0
48,125,2019,0,1,0,0,0,0,0
48,72,2016,1,0,0,0,0,0,0
39,95,2018,0,0,0,0,0,0,1
40,120,2017,0,0,1,1,0,0,0
42,89,2017,0,0,0,0,0,0,1
59,122,2015,0,0,1,0,1,0,0
43,136,2017,0,1,0,0,0,0,0
81,102,2016,0,1,1,0,0,0,1
58,137,2009,1,0,1,0,0,0,0
66,114,2014,0,0,1,0,0,0,1
33,93,2018,1,0,0,0,0,0,0
74,95,2010,1,0,1,0,0,0,0
15,95,2013,0,0,0,0,0,0,0
54,141,2017,1,0,0,0,0,0,0
39,89,2013,0,0,1,0,1,0,0
75,115,2018,0,0,1,0,0,0,0
50,113,2018,0,0,1,0,0,0,0
48,93,2018,1,0,0,0,1,0,0
42,98,2017,0,0,1,0,0,0,1
58,92,2005,1,0,1,0,0,0,0
53,128,2017,1,0,0,0,0,0,0
50,83,2010,0,0,0,1,0,0,0
62,90,2017,1,0,1,0,0,0,0
63,89,2012,1,0,0,0,0,0,0
38,102,2005,0,1,0,0,0,0,0
55,82,2018,0,0,0,1,0,0,0
53,98,2021,0,0,0,1,0,0,0
56,111,2000,1,0,0,0,1,0,0
45,94,2012,0,0,1,0,0,0,0
55,125,2011,0,0,1,0,0,1,0
45,84,2001,1,0,0,0,0,0,0
60,85,2014,0,0,1,0,0,0,0
35,77,2005,0,0,0,0,0,1,0
42,85,2018,0,0,0,1,0,0,0
41,83,2020,0,0,0,1,0,0,0
50,144,2010,1,0,0,0,0,0,0
50,88,2018,0,0,0,1,0,0,0
61,86,2013,1,1,0,0,0,1,0
63,86,2015,1,0,1,0,0,0,0
54,71,2015,1,0,0,0,0,0,0
71,134,2020,0,0,1,0,0,0,1
61,201,2017,0,0,1,0,0,0,0
54,115,2019,0,0,1,0,0,0,0
64,96,2016,0,1,1,0,0,0,0
62,100,2009,1,0,0,0,0,0,0
67,90,2014,0,1,0,0,0,0,1
46,97,2020,0,0,0,1,0,0,0
37,80,2019,1,0,1,0,0,0,0
66,110,2001,1,0,1,0,0,0,0
60,87,2015,1,0,0,0,0,0,0
61,94,2019,0,0,0,0,0,0,0
45,92,2017,1,0,0,0,1,0,0
66,110,2020,0,0,1,0,1,0,0
56,96,2008,0,0,0,1,0,0,0
46,104,2018,0,0,0,0,0,1,0
68,99,2012,0,0,1,0,1,0,0
47,121,2017,0,0,1,0,1,0,0
41,85,2016,0,0,1,0,1,0,0
52,120,2019,0,0,0,1,0,0,0
76,107,2009,1,0,1,0,1,0,0
46,130,2006,0,0,1,0,0,0,0
56,102,2001,1,0,1,0,1,0,0
36,95,2013,0,1,1,0,0,0,1
64,259,2007,0,0,0,1,0,0,0
43,95,2013,0,0,1,0,0,0,1
60,101,2018,0,0,1,0,0,0,0
45,124,2007,0,1,1,0,0,0,0
39,97,2016,0,0,1,0,0,0,0
62,108,2016,0,0,0,1,0,0,0
62,97,2012,1,0,1,0,1,0,0
39,72,2020,0,0,0,0,0,1,0
37,120,2019,0,1,1,0,0,0,1
39,86,1999,0,1,0,0,0,0,0
61,107,2021,0,0,1,0,0,0,0
40,114,2011,0,1,0,0,0,0,1
44,70,2018,0,0,0,0,0,0,0
50,89,2019,1,0,0,0,0,0,0
74,98,2020,1,1,0,0,0,0,1
65,95,2014,0,0,0,1,0,0,0
53,94,2020,1,0,1,0,0,0,0
44,140,2019,0,0,1,0,0,0,0
70,86,2020,0,1,1,0,0,0,0
48,104,2015,0,0,1,0,0,0,0
60,98,2015,1,0,0,0,0,0,1
51,100,2001,0,0,1,0,0,0,0
44,155,2019,1,0,1,0,1,0,0
64,98,2002,1,1,0,0,0,0,0
72,98,2017,0,0,1,0,1,0,0
52,70,2017,1,0,0,0,0,0,0
46,85,2008,0,0,0,1,0,0,0
61,74,2020,0,1,1,0,0,0,1
50,96,2020,0,0,1,0,0,0,0
38,98,2014,0,1,1,0,1,0,0
43,90,2018,1,0,0,0,1,0,0
57,99,2015,1,0,0,0,0,0,0
46,90,2018,0,0,0,0,0,1,0
57,95,2017,1,0,0,0,0,0,0
42,124,2019,0,0,0,0,0,0,1
62,137,2017,1,0,0,0,1,0,0
49,88,2016,0,0,1,0,0,0,0
51,145,2018,0,0,1,0,0,0,0
64,112,2019,1,0,1,0,0,0,0
53,85,2012,0,0,0,0,0,0,1
56,105,2019,1,0,1,0,0,0,1
84,95,2020,1,0,0,0,0,0,0
54,88,2019,0,0,0,0,0,0,1
51,94,2012,1,0,0,0,0,0,0
60,94,2016,0,0,1,0,0,0,1
45,91,2008,1,0,0,0,1,0,0
85,133,2016,0,1,0,0,0,0,0
52,86,2016,1,0,0,0,0,1,0
46,123,2020,0,0,1,0,1,0,0
42,83,2019,0,0,0,0,1,0,0
55,90,2018,0,0,1,0,0,0,1
38,100,2019,0,1,0,0,0,0,0
35,85,2018,0,0,1,0,0,0,0
45,127,2020,0,0,1,0,1,0,1
91,154,2019,0,0,1,0,1,0,0
65,135,2021,0,0,1,0,1,0,1
48,90,2017,0,0,0,1,0,0,0
48,87,2019,0,0,0,1,0,0,0
64,117,2018,0,0,1,0,1,0,0
47,97,2018,1,1,0,0,0,0,0
43,98,2021,0,0,1,0,0,0,0
64,115,2014,0,1,1,0,0,0,0
42,100,2019,0,0,1,0,0,0,0
48,77,2018,0,0,0,1,0,0,0
51,154,2005,0,1,1,0,0,0,1
68,87,2015,0,0,1,0,0,1,1
50,96,2020,0,1,0,0,0,0,0
42,91,2000,0,0,1,0,0,0,0
59,87,2013,1,0,0,1,0,0,0
46,84,2017,0,0,0,0,0,0,0
67,115,2020,0,0,1,0,0,0,0
49,98,2021,0,0,0,0,0,0,1
63,90,2019,0,0,1,0,0,1,1
55,77,2019,0,0,1,0,0,1,1
42,101,2020,1,0,1,0,0,0,0
72,105,2019,0,0,1,0,0,0,1
51,101,2000,1,0,1,0,0,0,0
50,130,2016,1,0,1,0,1,0,0
46,96,2019,1,0,0,0,0,0,0
73,93,2017,0,0,0,1,0,0,0
53,102,2021,0,0,0,1,0,0,0
59,84,2017,0,0,1,0,1,0,0
40,90,2016,0,0,1,0,0,0,0
50,101,2000,0,0,1,0,0,1,1
55,73,2014,0,1,0,0,0,0,0
50,90,2018,0,0,0,1,0,0,0
74,136,1998,1,1,0,0,1,0,1
54,103,2013,0,0,1,0,0,0,0
44,76,2012,0,0,0,1,0,0,0
62,98,2017,1,0,0,0,0,1,0
35,105,2018,1,0,1,0,0,0,0
43,125,2020,0,0,1,0,0,0,1
53,83,2015,1,0,0,0,0,0,0
75,156,2016,0,0,0,0,0,1,1
47,105,2018,1,0,0,0,0,1,0
41,80,2019,0,0,0,1,0,0,0
65,96,2010,1,0,1,0,0,0,0
59,111,2002,0,0,1,0,0,0,0
56,88,2009,1,0,0,0,0,0,0
48,92,2016,0,0,0,1,0,0,0
44,70,2016,1,0,0,0,0,0,0
61,130,2009,0,1,1,0,0,0,1
46,100,2016,0,0,1,0,0,0,0
50,81,2013,0,0,0,0,0,0,0
47,93,2008,0,0,1,0,0,0,0
41,99,2018,0,0,1,0,0,0,1
50,75,2019,0,0,0,1,0,0,0
52,100,2020,1,0,0,0,0,0,0
66,101,2019,1,0,1,0,0,0,0
60,107,2013,0,0,1,0,0,0,1
67,117,2018,0,0,0,0,0,0,0
37,97,2012,0,1,0,0,0,0,1
36,111,2019,0,0,1,0,0,0,0
81,93,2004,1,0,0,0,1,0,0
41,110,2020,1,0,0,0,1,0,0
51,146,2016,0,0,1,0,1,0,0
45,130,2021,0,0,1,0,0,0,0
67,136,2021,0,1,0,0,0,0,0
52,93,2018,0,0,0,1,0,0,0
43,80,2014,0,0,0,1,0,0,0
71,96,2018,0,0,1,0,0,0,1
48,109,2011,0,0,0,0,0,1,0
37,122,2018,0,1,0,0,0,0,0
70,108,2017,0,0,0,0,0,1,1
86,143,2003,0,1,0,0,0,0,0
38,90,2016,0,0,1,0,0,0,0
51,106,2018,0,0,1,0,0,0,0
73,105,2009,1,0,0,0,0,0,0
84,132,2004,0,0,1,0,0,0,0
51,96,2007,0,0,0,0,0,0,0
52,90,2009,1,0,0,0,0,0,0
54,94,2009,0,1,0,0,0,0,1
48,91,2020,0,0,1,0,0,0,1
60,93,2019,0,0,0,1,0,0,0
43,105,2017,0,0,1,0,0,0,0
46,91,2014,0,0,0,0,0,0,1
72,95,2011,0,0,0,0,0,1,1
51,107,2018,0,0,1,0,0,0,0
75,124,2015,0,0,1,0,0,0,0
42,90,2001,1,0,0,0,0,0,0
75,101,2018,1,0,0,0,0,0,0
46,101,2000,0,0,1,0,0,0,1
73,89,2012,1,0,1,0,0,0,0
81,117,2006,1,0,0,0,0,0,0
44,120,2005,0,0,1,0,0,0,0
35,81,2018,0,0,1,0,0,0,0
60,80,2020,1,0,0,0,1,0,0
52,115,2018,0,0,1,0,0,0,0
45,124,2017,1,0,1,0,1,0,0
45,96,2018,0,0,0,1,0,0,0
42,75,2016,0,0,0,1,0,0,0
62,107,2004,0,0,1,0,1,0,0
54,105,2021,0,0,1,0,0,0,0
43,105,2015,0,0,0,1,0,0,0
53,104,2011,1,0,0,0,1,0,0
60,131,2020,0,1,1,0,0,0,1
