gemeente,house_price,pop_growth,province
Utrecht (gemeente),511,5.9,Utrecht
Oostzaan,576.5,-0.2,Noord-Holland
Hilversum,524.2,4.3,Noord-Holland
Beuningen,428.3,3,Gelderland
Lisse,489.7,2.8,Zuid-Holland
Hattem,509.1,3.4,Gelderland
Tytsjerksteradiel,339.9,1.7,Friesland
Kapelle,355.6,2.6,Zeeland
Baarle-Nassau,426.4,4,Noord-Brabant
Gooise Meren,692.7,5.3,Noord-Holland
Heerenveen,358.2,2.9,Friesland
Oosterhout,405.6,4.1,Noord-Brabant
Weststellingwerf,380.9,2.9,Friesland
Smallingerland,304.5,0.4,Friesland
Beesel,299.1,0,Limburg
Diemen,528.1,16.6,Noord-Holland
Cranendonck,394.1,2.5,Noord-Brabant
Woerden,505.1,2.9,Utrecht
Gilze en Rijen,391.6,1.9,Noord-Brabant
Stichtse Vecht,544.6,1.9,Utrecht
Meppel,367.2,6.1,Drenthe
West Betuwe,474.8,4.7,Gelderland
Apeldoorn,420.5,3.7,Gelderland
Asten,429.9,3.1,Noord-Brabant
Wageningen,436.2,6.6,Gelderland
Leeuwarden,287.7,3.8,Friesland
Alphen aan den Rijn,411.2,4.1,Zuid-Holland
Schiedam,317.4,3.5,Zuid-Holland
Westerkwartier,349.6,3.4,Groningen
Bunnik,583.6,5.3,Utrecht
Noordwijk,566.4,5.9,Zuid-Holland
Bergen (NH.),685.9,0.7,Noord-Holland
Renswoude,516.8,11.1,Utrecht
Etten-Leur,414.1,2.4,Noord-Brabant
Voerendaal,362,0.1,Limburg
Gemert-Bakel,434.7,3.4,Noord-Brabant
Groningen (gemeente),353.9,3.6,Groningen
Dalfsen,438,4.9,Overijssel
Katwijk,466,2.5,Zuid-Holland
Vaals,309.9,3.2,Limburg
Geertruidenberg,374.3,2.7,Noord-Brabant
Delft,417.5,3.7,Zuid-Holland
Heemstede,805,2.6,Noord-Holland
Zoeterwoude,395.9,12,Zuid-Holland
Amstelveen,658.4,5.1,Noord-Holland
Almere,439.1,9.2,Flevoland
Kaag en Braassem,492.7,7.3,Zuid-Holland
Oegstgeest,585.6,7.8,Zuid-Holland
Zeist,643.1,5.2,Utrecht
Soest,535,2.9,Utrecht
Raalte,403.1,3.6,Overijssel
Rucphen,441.3,5.5,Noord-Brabant
Eindhoven,411.9,6.4,Noord-Brabant
Dijk en Waard,419.6,6.3,Noord-Holland
Vlissingen,271.9,1.5,Zeeland
Zandvoort,584.5,3.4,Noord-Holland
Landgraaf,282.1,-1.2,Limburg
Breda,470.6,1.6,Noord-Brabant
Steenwijkerland,378.2,3.7,Overijssel
Laarbeek,476.2,5,Noord-Brabant
Coevorden,342.3,1.1,Drenthe
Boekel,448,6.3,Noord-Brabant
Schiermonnikoog,577.2,5.4,Friesland
Maasgouw,352.1,2.6,Limburg
Buren,500.2,5.2,Gelderland
Goirle,480.9,2.4,Noord-Brabant
Altena,402.8,5.4,Noord-Brabant
Koggenland,401.7,3.8,Noord-Holland
Arnhem,383.7,5.4,Gelderland
Borsele,328.8,2,Zeeland
Dantumadiel,365.5,1.5,Friesland
Doetinchem,380.7,3.2,Gelderland
Berkelland,365.8,0,Gelderland
Bloemendaal,1118.9,3.1,Noord-Holland
Waalre,607.6,5.3,Noord-Brabant
Urk,353.7,6.3,Flevoland
Midden-Delfland,542.6,0.7,Zuid-Holland
Aalsmeer,570.7,5,Noord-Holland
Súdwest-Fryslân,342.4,1.4,Friesland
Albrandswaard,493.1,4.5,Zuid-Holland
Hardinxveld-Giessendam,390.2,4,Zuid-Holland
Nieuwkoop,458.8,4.2,Zuid-Holland
Terschelling,501.3,0.4,Friesland
Aalten,319.6,1,Gelderland
Maasdriel,441.3,6.9,Gelderland
Alkmaar,399.3,3.1,Noord-Holland
Voorst,538.5,3.7,Gelderland
Noardeast-Fryslân,276.7,1.2,Friesland
Harderwijk,450.7,4.4,Gelderland
Edam-Volendam,422,2.2,Noord-Holland
Lingewaard,419.1,1.8,Gelderland
Boxtel,466.6,2.8,Noord-Brabant
Hardenberg,353.5,3.3,Overijssel
Nieuwegein,403.9,4.8,Utrecht
Leiden,462.8,2.2,Zuid-Holland
Rotterdam,397.9,3.9,Zuid-Holland
Capelle aan den IJssel,368,1,Zuid-Holland
Midden-Drenthe,400.3,2.5,Drenthe
Roermond,358.4,3.8,Limburg
Sluis,324.2,-1.2,Zeeland
Westervoort,346.6,0.7,Gelderland
Hendrik-Ido-Ambacht,429.6,4.9,Zuid-Holland
Drechterland,434.2,4.9,Noord-Holland
Eersel,511.3,6.5,Noord-Brabant
Echt-Susteren,314.6,0.7,Limburg
Sint-Michielsgestel,513,5.1,Noord-Brabant
