Vijfheerenlanden;406,1;355,9
Oosterhout;405,6;391,1
Heeze-Leende;404,6;325,8
Nieuwegein;403,9;321,4
Rijswijk (ZH.);403,8;428,3
Hoeksche Waard;403,7;349,6
Rijssen-Holten;403,2;282,7
Raalte;403,1;411,1
Tubbergen;403,0;343,6
Noordenveld;402,9;373,6
Altena;402,8;337,6
Koggenland;401,7;422,3
Midden-Drenthe;400,3;453,0
Alkmaar;399,3;397,6
Gorinchem;398,5;383,2
Rotterdam;397,9;362,7
Olst-Wijhe;397,8;454,3
Waalwijk;396,3;426,6
Zoeterwoude;395,9;364,8
Land van Cuijk;394,9;297,0
Cranendonck;394,1;253,8
Zoetermeer;394,0;326,9
Dongen;393,4;355,5
Gilze en Rijen;391,6;286,0
Opmeer;391,4;529,0
Elburg;390,5;470,2
Hardinxveld-Giessendam;390,2;424,3
Gulpen-Wittem;390,1;575,0
Ameland;388,7;463,1
Montferland;386,9;540,5
Tilburg;384,9;260,1
Hoorn;384,2;349,4
Arnhem;383,7;325,3
Hof van Twente;383,2;352,0
Beverwijk;382,6;378,6
Borne;382,5;313,3
Papendrecht;382,2;372,1
Deventer;382,2;319,6
Helmond;382,1;482,8
Hellendoorn;382,1;381,8
Moerdijk;381,5;320,3
Weststellingwerf;380,9;353,7
Dronten;380,7;309,7
Doetinchem;380,7;554,5
Lelystad;380,4;426,7
Steenwijkerland;378,2;422,5
Peel en Maas;376,4;318,7
Valkenburg aan de Geul;376,1;325,2
Oldenzaal;376,0;200,5
Zutphen;375,8;467,1
Geertruidenberg;374,3;362,6
Haaksbergen;373,7;470,1
Meerssen;373,5;347,2
Oss;373,1;285,4
Halderberge;372,9;478,4
Weert;370,9;426,9
Gouda;370,5;402,4
Maassluis;370,5;367,0
Maastricht;369,6;447,7
Bergen (L.);369,3;311,0
Schagen;369,2;342,8
Alblasserdam;368,5;355,9
Enkhuizen;368,2;306,1
Capelle aan den IJssel;368,0;319,0
Meppel;367,2;516,8
Ooststellingwerf;367,1;315,7
Venray;367,1;364,0
Tiel;367,0;796,1
Hollands Kroon;366,9;379,7
Berkelland;365,8;341,5
Dantumadiel;365,5;424,2
Duiven;364,9;279,4
Horst aan de Maas;364,8;430,2
Hellevoetsluis;363,1;371,4
Voerendaal;362,0;288,5
De Fryske Marren;361,4;410,6
Opsterland;360,2;491,5
Leudal;358,6;266,4
Roermond;358,4;303,7
Heerenveen;358,2;294,4
Goes;358,0;282,9
Gennep;356,7;506,5
Kapelle;355,6;378,2
