price,age,odometer,state_ca,state_fl,state_ny,state_tx
10950,3,77312,1,0,0,0
15991,7,91243,1,0,0,0
7900,9,120000,1,0,0,0
21590,1,16759,1,0,0,0
7999,8,126000,1,0,0,0
6900,14,105000,1,0,0,0
12538,8,64238,1,0,0,0
7900,9,120000,1,0,0,0
18990,4,16947,1,0,0,0
18590,4,21032,1,0,0,0
15991,7,91243,1,0,0,0
12538,8,64238,1,0,0,0
10988,8,137538,1,0,0,0
11988,7,71454,1,0,0,0
9450,9,96975,1,0,0,0
7500,10,119651,1,0,0,0
17990,4,34632,1,0,0,0
18990,3,30910,1,0,0,0
7495,11,138010,1,0,0,0
9999,10,149626,1,0,0,0
7500,9,137000,1,0,0,0
8500,14,67232,1,0,0,0
4000,14,113000,1,0,0,0
19991,3,31848,1,0,0,0
5499,15,107379,1,0,0,0
12995,5,86168,1,0,0,0
7899,9,105344,1,0,0,0
5599,15,121503,1,0,0,0
5599,17,110277,1,0,0,0
23491,1,21145,1,0,0,0
6500,13,60000,1,0,0,0
8500,6,79499,1,0,0,0
6950,9,31328,1,0,0,0
9499,11,133483,1,0,0,0
7300,11,109000,1,0,0,0
9800,11,48590,1,0,0,0
2200,19,141500,1,0,0,0
16991,3,61417,1,0,0,0
18990,4,16947,1,0,0,0
4500,15,115256,1,0,0,0
6500,9,137100,1,0,0,0
7000,10,121161,1,0,0,0
7900,8,101509,1,0,0,0
21990,2,16493,1,0,0,0
7900,10,125000,1,0,0,0
18591,3,21468,1,0,0,0
4000,16,145000,1,0,0,0
9595,9,123317,1,0,0,0
13770,7,44856,1,0,0,0
10900,7,0,1,0,0,0
13900,6,0,1,0,0,0
6950,9,128249,1,0,0,0
8950,12,114956,1,0,0,0
9950,8,117809,1,0,0,0
12500,6,73000,1,0,0,0
9500,8,122000,1,0,0,0
6995,12,134292,1,0,0,0
12555,5,101958,1,0,0,0
19900,2,3916,1,0,0,0
6000,12,136000,1,0,0,0
12555,5,101958,1,0,0,0
6995,12,134292,1,0,0,0
12555,5,101958,1,0,0,0
6995,12,134292,1,0,0,0
12555,5,101958,1,0,0,0
18495,2,23532,1,0,0,0
6995,12,134292,1,0,0,0
6995,12,134292,1,0,0,0
19999,2,28045,1,0,0,0
7900,11,97184,1,0,0,0
6799,16,79994,1,0,0,0
19750,2,30000,1,0,0,0
18590,4,14317,1,0,0,0
12500,5,81371,1,0,0,0
20590,1,3610,1,0,0,0
7500,16,133000,1,0,0,0
10990,7,91752,1,0,0,0
