price,year,odometer,paint_color,good_condition
8700,2010,181000,white,1
25990,2019,10070,white,1
8500,2002,95500,green,1
41395,2019,28930,silver,0
19995,2015,145097,white,1
37900,2017,42653,white,1
26985,2018,79914,grey,1
68864,2019,8421,grey,0
1000,2010,172000,white,1
14950,2018,14500,silver,0
21995,2014,110694,red,1
8796,2007,120075,custom,0
4500,2007,300000,white,0
9995,2004,79158,white,1
8400,2006,170000,white,0
12500,2006,175000,silver,1
5500,1986,45000,white,0
51250,2019,12558,black,1
8995,2008,175866,grey,1
30250,2011,105518,black,1
15998,2010,140839,silver,0
31995,2016,75280,black,1
3300,2004,213000,green,0
29900,2016,20200,red,1
6900,2006,112000,black,0
32995,2014,53222,black,0
33997,2017,39629,silver,1
1500,2002,218000,brown,0
4000,2005,123000,black,0
4395,1998,150110,black,0
31995,2017,37882,white,1
20999,2013,90592,green,1
14995,2013,144104,white,1
5995,1999,139332,blue,0
27000,2017,99402,blue,1
4990,2001,212000,blue,0
24990,2012,116000,white,1
4500,1974,134000,green,0
20500,2014,69145,blue,1
10895,2008,101138,blue,1
19999,2011,80920,silver,1
27698,2018,22847,white,1
27500,2016,99966,blue,1
10999,2014,138938,black,0
16995,2011,132000,white,1
22995,2012,125242,grey,1
5895,2006,129055,blue,1
8500,2006,184522,brown,1
11900,2007,114000,blue,1
10990,2009,164000,black,1
35000,2018,50000,black,1
36900,2019,17071,black,1
44900,2018,22896,green,1
71900,2019,12574,white,1
7995,2009,86000,red,0
16995,2014,132243,blue,1
28950,2014,118260,black,0
29999,2016,73254,silver,1
12900,2007,123062,red,1
30990,2017,101458,black,1
11500,2006,143000,black,0
29999,2017,32468,black,1
8995,2007,119240,red,0
11400,2010,48800,blue,1
11500,2006,143000,black,0
3000,2008,250000,silver,0
38590,2017,26414,red,1
32495,2018,77066,blue,1
19500,2012,117567,grey,1
3800,2002,190000,black,0
15499,2010,118972,white,1
2500,2003,266000,black,0
2595,2003,171022,red,1
4995,2011,202398,white,1
29895,2015,80058,grey,1
15750,2009,140900,white,1
41500,2018,57000,black,1
31000,2017,70841,black,1
12950,2013,158425,white,0
19000,2012,109200,silver,1
2600,1989,101000,grey,0
23995,2012,68000,red,1
30000,2014,32646,grey,1
24877,2015,134718,white,1
26000,2015,97856,red,1
18500,2013,105000,brown,0
27990,2013,6774,blue,1
21500,2015,100000,black,1
20955,2015,104696,silver,1
8000,2005,182000,black,0
25990,2019,9123,white,1
24500,2014,74040,white,1
18450,2013,122549,blue,1
39635,2018,41315,white,1
26650,2015,66835,blue,1
31900,2017,54904,red,1
31900,2017,54904,red,1
4000,1995,162000,white,0
5000,2004,203000,silver,0
24500,2016,78000,white,0
10500,2011,185000,brown,0
23999,2015,118000,white,1
3950,1999,185000,black,0
3500,1999,187447,black,0
34000,2018,94530,green,1
5400,1994,104500,blue,0
23900,2013,69000,custom,1
43990,2019,24750,white,1
11950,2010,109010,white,1
7000,2008,105000,white,0
2000,2002,166000,blue,0
13500,2013,95000,green,0
15999,2014,138857,grey,1
11950,2010,109010,white,1
61950,2019,21113,black,1
25985,2017,76100,blue,1
5995,2001,210969,green,1
17795,2013,149220,white,1
21995,2012,125242,grey,1
33951,2016,45162,silver,1
20990,2013,146582,grey,0
10495,2009,144500,black,1
46917,2018,17359,red,1
10499,2014,112000,black,0
14000,2011,69850,silver,1
17995,2008,86238,black,1
39901,2016,65009,black,1
38500,2012,107020,black,1
19995,2014,111339,white,0
28999,2014,52828,white,0
19863,2013,97043,white,1
29995,2010,117702,black,1
25990,2019,10734,white,1
12995,2014,215132,black,1
1800,2003,170000,black,0
24500,2014,74040,white,1
7500,2006,99000,custom,0
1900,1997,188000,white,0
19995,2014,111339,white,0
14200,2013,198946,silver,1
12995,2010,208714,black,1
32995,2017,43527,red,1
4600,2005,159000,silver,0
8995,2004,123512,black,0
3200,2003,185516,white,0
30995,2018,51473,black,1
7495,2007,163500,red,0
3000,1983,74000,brown,0
17675,2010,90270,white,1
34995,2017,41000,grey,1
13990,2011,187000,silver,1
2500,1998,165000,red,0
12500,2007,90500,blue,1
24900,2017,106013,blue,1
24900,2016,113917,silver,0
7450,2004,185158,green,1
6500,2008,274000,red,0
23750,2013,94000,grey,1
3000,2005,187000,silver,0
9800,2014,171000,black,0
1500,2000,209000,red,0
36900,2019,17071,black,1
25500,2016,84210,white,1
3500,2006,167000,black,0
9900,2004,118921,grey,0
19995,2014,111339,white,0
40618,2018,48964,white,1
41997,2019,6337,blue,1
21900,2013,139288,black,1
16995,2014,132243,blue,1
3000,1992,248205,green,0
49000,2019,19483,white,1
4500,1984,147000,white,0
9595,2007,127111,grey,0
18995,2018,98462,white,0
20000,2005,31000,white,1
6950,2005,78928,grey,0
12900,2009,139000,red,0
12000,2012,44532,white,0
25990,2019,10070,white,1
30995,2015,75588,silver,1
5500,2002,317000,blue,0
10895,2008,101138,blue,1
4200,2001,88459,brown,1
3700,1998,165000,red,0
25995,2019,13236,white,1
34900,2017,37900,white,1
1850,1992,162000,white,0
1950,2000,236541,brown,0
25499,2013,111373,white,1
6499,2008,132000,white,0
33680,2019,41000,grey,1
33850,2017,52950,silver,1
14995,2008,173323,white,0
17000,2013,97243,red,1
7500,2014,184200,white,0
19999,2016,106550,red,1
34879,2016,96054,white,1
7000,2009,198350,white,0
18000,2014,19000,white,1
4997,2007,166889,custom,1
22985,2016,156295,white,1
57995,2018,53827,black,0
11888,2012,198000,green,0
29900,2016,98285,white,1
16800,2012,185610,black,0
7500,2010,108432,blue,1
6000,1998,168000,black,1
12997,2008,106445,silver,0
7995,2005,167000,grey,1
6000,2005,180000,black,1
33000,2018,50000,black,1
24995,2015,176123,white,0
20995,2009,77457,white,0
32900,2018,121496,white,0
7950,2014,169102,white,1
20999,2013,90592,green,1
5800,1999,171000,red,0
8995,2008,118729,white,1
4500,2000,223000,white,0
24995,2014,163845,white,1
12350,2013,233441,blue,1
25901,2013,81121,blue,1
19850,2013,69500,red,1
27995,2016,74131,black,1
13995,2012,204632,silver,1
10500,1998,113602,custom,1
24995,2017,94685,white,0
1500,1995,125000,blue,0
31000,2017,70841,black,1
17500,2011,129000,red,1
15900,2012,128057,black,1
14550,2006,75000,blue,1
7995,2009,223915,red,1
5895,2006,129055,blue,1
24995,2016,109238,white,0
12950,2013,158425,white,0
9995,2010,158996,silver,1
3999,2004,222164,silver,1
7495,2005,62000,blue,0
8999,2008,7400,white,0
9300,2010,215000,red,1
5895,2006,129055,blue,1
16995,2014,132243,blue,1
18900,2013,38399,grey,1
25900,2014,87059,silver,0
42950,2017,29070,brown,1
10995,2008,101138,blue,1
9950,2010,180200,white,0
2795,2010,171000,grey,1
18995,2013,74453,white,0
6500,2007,140000,silver,0
29900,2017,19952,white,1
14000,2012,166000,blue,1
32900,2018,53780,white,0
13995,2012,130886,white,1
1000,2017,120000,green,1
7000,2009,108000,red,0
7200,1985,142000,red,0
16495,2012,130900,blue,0
37950,2019,34370,black,1
10950,2007,116175,grey,1
25500,2016,122272,white,1
